VC32 - sample depths,,,,,,,,,,,,,
0.42,0.72,0.88,0.96,1.18,1.34,1.66,1.82,1.92,2.22,2.54,,,
k-2.5% 0.0489692409070765,k-2.5% 0.0283131375238864,k-2.5% 0.0253666099278487,k-2.5% 0.0190978921370818,k-2.5% 0.0568495387746481,k-2.5% 0.033966087282358,k-2.5% 0.0404665197465924,#CALCULATED USING AUTOMATED PARAMETERS,#CALCULATED USING AUTOMATED PARAMETERS,k-2.5% 0.0302832392937081,#CALCULATED USING AUTOMATED PARAMETERS,#CALCULATED USING AUTOMATED PARAMETERS,k-2.5% 0.0458264864258807,
k-50% 0.0620480937512755,k-50% 0.0367397329007539,k-50% 0.0283040347342006,k-50% 0.023028650977892,k-50% 0.0642534552426879,k-50% 0.0366143378552548,k-50% 0.0413137654600036,,,k-50% 0.0487810690671288,,,k-50% 0.0515622363289085,
k-97.5% 0.0790290761540461,k-97.5% 0.0469568193605545,k-97.5% 0.0314460117466526,k-97.5% 0.0273375536743522,k-97.5% 0.0725394598680341,k-97.5% 0.0394235350386624,k-97.5% 0.0421724842349417,,,k-97.5% 0.0796933662395648,,,k-97.5% 0.0579466329923004,
N-2.5% 0.251954159843551,N-2.5% 0.0907269974194387,N-2.5% 0.0930827285910019,N-2.5% 0.045592006627818,N-2.5% 0.514405828257192,N-2.5% 0.174563390940146,N-2.5% 0.35234147353587,,,N-2.5% 0.18654635305286,,,N-2.5% 0.298977556340429,
N-50% 0.459147418631946,N-50% 0.162130589378397,N-50% 0.116559466805649,N-50% 0.0621030346725963,N-50% 0.749356308712407,N-50% 0.210265229672251,N-50% 0.382167351969068,,,N-50% 0.503282768616907,,,N-50% 0.431885996155837,
N-97.5% 0.948431415996459,N-97.5% 0.310862980771834,N-97.5% 0.147058902856305,N-97.5% 0.0853763320916305,N-97.5% 1.12613836391775,N-97.5% 0.254959698498321,N-97.5% 0.414861228499982,,,N-97.5% 3.12079832952246,,,N-97.5% 0.642020193359466,
min-k 0.0369468421157029,min-k 0.0197223875597389,min-k 0.0232993080259886,min-k 0.0153104579045517,min-k 0.0516269690869353,min-k 0.033010488914628,min-k 0.032077762345139,,,min-k 0.0245782890871194,,,min-k 0.0332666680656821,
max-k 0.0621538932612998,max-k 0.0708786848393134,max-k 0.0337748063676892,max-k 0.0322256742512981,max-k 0.0790107724116015,max-k 0.047960508176452,max-k 0.043155058986896,,,max-k 0.0511185384919838,,,max-k 0.0729366990195096,
min-N 0.115124981026365,min-N 0.0416232320833914,min-N 0.0740145530106074,min-N 0.0316089032060889,min-N 0.356278487771186,min-N 0.15614885956128,min-N 0.152898925996599,,,min-N 0.0787362545919223,,,min-N 0.110715392265225,
max-N 0.461237056911327,max-N 2.69748416829633,max-N 0.191196417095732,max-N 0.1522972496768,max-N 1.87810292359368,max-N 0.548089053060932,max-N 0.46704076124719,,,max-N 0.579009000923888,,,max-N 2.19289381438057,
start 37,start 53,start 58,start 55,start 43,start 56,start 85,,,start 53,,,start 54,
end 140,end 132,end 140,end 141,end 104,end 141,end 141,,,end 138,,,end 137,
clipped-top 0,clipped-top 1,clipped-top 1,clipped-top 0,clipped-top 2,clipped-top 0,clipped-top 0,,,clipped-top 1,,,clipped-top 0,
low 30,low 30,low 30,low 30,low 30,low 30,low 30,,,low 30,,,low 30,
high 140,high 141,high 141,high 141,high 106,high 141,high 141,,,high 139,,,high 137,
#CALCULATED USING AUTOMATED PARAMETERS,#CALCULATED USING AUTOMATED PARAMETERS,#CALCULATED USING AUTOMATED PARAMETERS,#CALCULATED USING AUTOMATED PARAMETERS,#CALCULATED USING AUTOMATED PARAMETERS,#CALCULATED USING AUTOMATED PARAMETERS,#CALCULATED USING AUTOMATED PARAMETERS,,,#CALCULATED USING AUTOMATED PARAMETERS,,,#CALCULATED USING AUTOMATED PARAMETERS,
